fighter,D,L,NC,W,total
 alatengheili,1,2,0,1,4
 aoriqileng,0,3,1,0,4
 maheshate,0,1,0,1,2
 sumudaerji,0,3,0,0,3
aalon cruz,0,1,0,0,1
aalon cruz ,0,1,0,0,1
aaron brink,0,1,0,0,1
aaron phillips,0,2,0,0,2
aaron phillips ,0,2,0,0,2
aaron riley,0,5,0,0,5
aaron riley ,0,1,0,3,4
aaron rosa,0,2,0,0,2
aaron rosa ,0,0,0,1,1
aaron simpson,0,1,0,2,3
aaron simpson ,0,3,0,5,8
aaron wilkinson,0,1,0,0,1
abdul razak alhassan,0,2,0,5,7
abdul razak alhassan ,0,4,1,1,6
abdul-kareem al-selwady ,0,1,0,0,1
abdul-kerim edilov,0,0,0,1,1
abel trujillo,0,3,1,3,7
abel trujillo ,0,1,0,3,4
abner lloveras,0,1,0,0,1
abu azaitar,0,1,0,1,2
abubakar nurmagomedov,0,0,0,1,1
abubakar nurmagomedov ,0,2,0,1,3
abus magomedov,0,2,0,0,2
abus magomedov ,0,0,0,2,2
adam cella,0,1,0,0,1
adam fugitt,0,2,0,2,4
adam milstead,0,1,0,1,2
adam milstead ,0,1,1,0,2
adam wieczorek,0,0,0,2,2
adam wieczorek ,0,1,0,0,1
adam yandiev ,0,1,0,0,1
adlan amagov,0,0,0,2,2
adrian serrano,0,1,0,0,1
adrian yanez,0,2,0,1,3
adrian yanez ,0,1,0,5,6
adriano martins,0,3,0,1,4
adriano martins ,0,0,0,3,3
adriano santos,0,1,0,0,1
aiemann zahabi ,0,2,0,6,8
ailin perez,0,1,0,2,3
ailin perez ,0,0,0,2,2
aisling daly,0,1,0,0,1
aisling daly ,0,0,0,2,2
aj cunningham,0,1,0,0,1
aj dobson,0,2,0,0,2
aj dobson ,0,1,0,1,2
aj fletcher,0,2,0,0,2
aj fletcher ,0,1,0,1,2
akbarh arreola,0,2,0,1,3
akbarh arreola ,0,1,0,0,1
akihiro gono,0,2,0,0,2
akihiro gono ,0,0,0,1,1
akira corassani,0,1,0,1,2
akira corassani ,0,2,0,2,4
al iaquinta,0,2,0,5,7
al iaquinta ,0,4,0,4,8
alan baudot,0,3,0,0,3
alan baudot ,0,1,0,0,1
alan belcher,0,6,0,2,8
alan belcher ,0,0,0,7,7
alan jouban,0,2,0,3,5
alan jouban ,0,3,0,5,8
alan omer ,0,2,0,0,2
alan patrick,0,4,0,1,5
alan patrick ,0,0,1,4,5
alatengheili ,0,0,0,4,4
albert cheng ,0,1,0,0,1
albert duraev,0,1,0,1,2
albert duraev ,0,1,0,1,2
albert morales,1,2,0,0,3
albert morales ,0,2,0,1,3
albert tumenov,0,2,0,4,6
albert tumenov ,0,1,0,1,2
alberta cerra leon,0,1,0,0,1
alberto crane,0,2,0,0,2
alberto mina,0,0,0,2,2
alberto mina ,0,1,0,1,2
alberto uda,0,1,0,0,1
alberto uda ,0,1,0,0,1
alejandro perez,0,1,0,3,4
alejandro perez ,1,3,0,5,9
aleksa camur,0,2,0,0,2
aleksa camur ,0,1,0,1,2
aleksandar rakic,0,3,0,6,9
aleksandra albu,0,1,0,2,3
aleksandra albu ,0,1,0,0,1
aleksei kunchenko,0,2,0,1,3
aleksei kunchenko ,0,0,0,1,1
aleksei oleinik,0,3,0,3,6
aleksei oleinik ,0,5,0,6,11
alen amedovski,0,3,0,0,3
alen amedovski ,0,1,0,0,1
alessandro costa,0,2,0,1,3
alessandro costa ,0,0,0,1,1
alessio di chirico,0,2,0,2,4
alessio di chirico ,0,5,0,2,7
alessio sakara,0,6,0,0,6
