,Fighter,Win,Loss,Draw,No Contest,Total Matches
0, alatengheili,1,2,1,0,4
1, aoriqileng,0,3,0,1,4
2, maheshate,1,1,0,0,2
3, sumudaerji,0,3,0,0,3
4,aalon cruz,0,1,0,0,1
5,aalon cruz ,0,1,0,0,1
6,aaron brink,0,1,0,0,1
7,aaron phillips,0,2,0,0,2
8,aaron phillips ,0,2,0,0,2
9,aaron riley,0,5,0,0,5
10,aaron riley ,3,1,0,0,4
11,aaron rosa,0,2,0,0,2
12,aaron rosa ,1,0,0,0,1
13,aaron simpson,2,1,0,0,3
14,aaron simpson ,5,3,0,0,8
15,aaron wilkinson,0,1,0,0,1
16,abdul razak alhassan,5,2,0,0,7
17,abdul razak alhassan ,1,4,0,1,6
18,abdul-kareem al-selwady ,0,1,0,0,1
19,abdul-kerim edilov,1,0,0,0,1
20,abel trujillo,3,3,0,1,7
21,abel trujillo ,3,1,0,0,4
22,abner lloveras,0,1,0,0,1
23,abu azaitar,1,1,0,0,2
24,abubakar nurmagomedov,1,0,0,0,1
25,abubakar nurmagomedov ,1,2,0,0,3
26,abus magomedov,0,2,0,0,2
27,abus magomedov ,2,0,0,0,2
28,adam cella,0,1,0,0,1
29,adam fugitt,2,2,0,0,4
30,adam milstead,1,1,0,0,2
31,adam milstead ,0,1,0,1,2
32,adam wieczorek,2,0,0,0,2
33,adam wieczorek ,0,1,0,0,1
34,adam yandiev ,0,1,0,0,1
35,adlan amagov,2,0,0,0,2
36,adrian serrano,0,1,0,0,1
37,adrian yanez,1,2,0,0,3
38,adrian yanez ,5,1,0,0,6
39,adriano martins,1,3,0,0,4
40,adriano martins ,3,0,0,0,3
41,adriano santos,0,1,0,0,1
42,aiemann zahabi ,6,2,0,0,8
43,ailin perez,2,1,0,0,3
44,ailin perez ,2,0,0,0,2
45,aisling daly,0,1,0,0,1
46,aisling daly ,2,0,0,0,2
47,aj cunningham,0,1,0,0,1
48,aj dobson,0,2,0,0,2
49,aj dobson ,1,1,0,0,2
50,aj fletcher,0,2,0,0,2
51,aj fletcher ,1,1,0,0,2
52,akbarh arreola,1,2,0,0,3
53,akbarh arreola ,0,1,0,0,1
54,akihiro gono,0,2,0,0,2
55,akihiro gono ,1,0,0,0,1
56,akira corassani,1,1,0,0,2
57,akira corassani ,2,2,0,0,4
58,al iaquinta,5,2,0,0,7
59,al iaquinta ,4,4,0,0,8
60,alan baudot,0,3,0,0,3
61,alan baudot ,0,1,0,0,1
62,alan belcher,2,6,0,0,8
63,alan belcher ,7,0,0,0,7
64,alan jouban,3,2,0,0,5
65,alan jouban ,5,3,0,0,8
66,alan omer ,0,2,0,0,2
67,alan patrick,1,4,0,0,5
68,alan patrick ,4,0,0,1,5
69,alatengheili ,4,0,0,0,4
70,albert cheng ,0,1,0,0,1
71,albert duraev,1,1,0,0,2
72,albert duraev ,1,1,0,0,2
73,albert morales,0,2,1,0,3
74,albert morales ,1,2,0,0,3
75,albert tumenov,4,2,0,0,6
76,albert tumenov ,1,1,0,0,2
77,alberta cerra leon,0,1,0,0,1
78,alberto crane,0,2,0,0,2
79,alberto mina,2,0,0,0,2
80,alberto mina ,1,1,0,0,2
81,alberto uda,0,1,0,0,1
82,alberto uda ,0,1,0,0,1
83,alejandro perez,3,1,0,0,4
84,alejandro perez ,5,3,1,0,9
85,aleksa camur,0,2,0,0,2
86,aleksa camur ,1,1,0,0,2
87,aleksandar rakic,6,3,0,0,9
88,aleksandra albu,2,1,0,0,3
89,aleksandra albu ,0,1,0,0,1
90,aleksei kunchenko,1,2,0,0,3
91,aleksei kunchenko ,1,0,0,0,1
92,aleksei oleinik,3,3,0,0,6
93,aleksei oleinik ,6,5,0,0,11
94,alen amedovski,0,3,0,0,3
95,alen amedovski ,0,1,0,0,1
96,alessandro costa,1,2,0,0,3
97,alessandro costa ,1,0,0,0,1
98,alessio di chirico,2,2,0,0,4
99,alessio di chirico ,2,5,0,0,7
100,alessio sakara,0,6,0,0,6
101,alessio sakara ,6,2,0,1,9
102,alex andrade,0,1,0,0,1
103,alex caceres,3,6,0,0,9
104,alex caceres ,13,6,0,1,20
105,alex chambers,0,3,0,0,3
106,alex chambers ,1,1,0,0,2
107,alex da silva,1,3,0,0,4
108,alex garcia,5,3,0,0,8
109,alex garcia ,0,2,0,0,2
110,alex gorgees ,0,1,0,0,1
111,alex hunter ,2,0,0,0,2
112,alex karalexis,0,2,0,0,2
113,alex karalexis ,1,0,0,0,1
114,alex morono,8,6,0,0,14
115,alex morono ,5,2,0,1,8
116,alex nicholson,1,3,0,0,4
117,alex oliveira,4,4,0,0,8
118,alex oliveira ,7,6,0,1,14
119,alex pereira,4,0,0,0,4
120,alex pereira ,5,1,0,0,6
121,alex perez,5,3,0,0,8
122,alex perez ,2,2,0,0,4
123,alex reyes,0,2,0,0,2
124,alex reyes ,0,1,0,0,1
125,alex ricci,0,2,0,0,2
126,alex schoenauer,0,1,0,0,1
127,alex soto,0,1,0,0,1
128,alex soto ,0,1,0,0,1
129,alex stiebling,0,1,0,0,1
130,alex torres,0,1,0,0,1
131,alex white,3,4,0,0,7
132,alex white ,1,2,0,0,3
133,alexa grasso,6,1,0,0,7
134,alexa grasso ,2,3,1,0,6
135,alexander gustafsson,4,5,0,0,9
136,alexander gustafsson ,6,3,0,0,9
137,alexander hernandez,4,1,0,0,5
138,alexander hernandez ,3,6,0,0,9
139,alexander munoz,0,2,0,0,2
140,alexander munoz ,1,0,0,0,1
141,alexander volkanovski,5,1,0,0,6
142,alexander volkanovski ,8,1,0,0,9
143,alexander volkov,5,4,0,0,9
144,alexander volkov ,7,1,0,0,8
145,alexander yakovlev,2,5,0,0,7
146,alexander yakovlev ,1,1,0,0,2
147,alexandr romanov,0,3,0,0,3
148,alexandr romanov ,7,0,0,0,7
149,alexandre barros,0,1,0,0,1
150,alexandre dantas,0,2,0,0,2
151,alexandre ferreira,0,1,0,0,1
152,alexandre pantoja,3,1,0,0,4
153,alexandre pantoja ,10,2,0,0,12
154,alexis davis,1,3,0,0,4
155,alexis davis ,7,3,0,0,10
156,alexis dufresne,0,1,0,0,1
157,alexis dufresne ,0,1,0,0,1
158,alfonso alcarez,0,0,1,0,1
159,ali alqaisi,0,1,0,0,1
160,ali alqaisi ,0,1,0,0,1
161,ali bagautinov,3,3,0,0,6
162,ali bagautinov ,1,0,0,0,1
163,aliaskhab khizriev ,1,0,0,1,2
164,alice ardelean,0,2,0,0,2
165,alistair overeem,5,1,0,0,6
166,alistair overeem ,7,7,0,0,14
167,aljamain sterling,6,3,0,0,9
168,aljamain sterling ,10,2,0,0,12
169,allan goes,0,1,0,0,1
170,allan nascimento,1,1,0,0,2
171,allan nascimento ,1,0,0,0,1
172,allan zuniga,0,1,0,0,1
173,allen berube,0,1,0,0,1
174,allen crowder,1,1,0,0,2
175,allen crowder ,0,1,0,0,1
176,alonzo menifield,2,2,1,0,5
177,alonzo menifield ,6,3,0,0,9
178,alptekin ozkilic,1,1,0,0,2
179,alptekin ozkilic ,0,2,0,0,2
180,alvaro herrera mendoza,1,2,0,0,3
181,alvaro herrera mendoza ,0,1,0,0,1
182,alvin robinson,0,3,0,0,3
183,alvin robinson ,1,0,0,0,1
184,amanda cooper,1,3,0,0,4
185,amanda cooper ,1,1,0,0,2
186,amanda lemos,4,2,0,0,6
187,amanda lemos ,4,2,0,0,6
188,amanda nunes,4,1,0,0,5
189,amanda nunes ,12,1,0,0,13
190,amanda ribas,4,2,0,0,6
191,amanda ribas ,3,2,0,0,5
192,amar suloev,0,2,0,0,2
193,amaury bitetti,0,1,0,0,1
194,amaury bitetti ,1,0,0,0,1
195,amilcar alves,0,2,0,0,2
196,amir albazi,2,1,0,0,3
197,amir albazi ,3,0,0,0,3
198,amir sadollah,1,3,0,0,4
199,amir sadollah ,5,2,0,0,7
200,anderson dos santos,1,3,0,0,4
201,anderson silva,0,5,0,0,5
202,anderson silva ,17,2,0,1,20
203,andre ewell,1,4,0,0,5
204,andre ewell ,3,1,0,0,4
205,andre fialho,1,2,0,0,3
206,andre fialho ,1,3,0,0,4
207,andre fili,7,7,0,0,14
208,andre fili ,5,3,0,1,9
209,andre gusmao,0,2,0,0,2
210,andre lima,3,0,0,0,3
211,andre muniz,4,1,0,0,5
212,andre muniz ,2,1,0,0,3
213,andre pederneiras,0,1,0,0,1
214,andre petroski,3,0,0,0,3
215,andre petroski ,4,2,0,0,6
216,andre roberts,0,1,0,0,1
217,andre roberts ,2,0,0,0,2
218,andre soukhamthath,1,5,0,0,6
219,andre soukhamthath ,1,0,0,0,1
220,andre winner,0,3,0,0,3
221,andre winner ,2,1,0,0,3
222,andrea lee,3,4,0,0,7
223,andrea lee ,2,4,0,0,6
224,andreas michailidis,0,3,0,0,3
225,andreas michailidis ,1,0,0,0,1
226,andreas stahl,0,1,0,0,1
227,andreas stahl ,0,1,0,0,1
228,andrei arlovski,4,6,0,0,10
229,andrei arlovski ,19,12,0,1,32
230,andrei semenov,0,1,0,0,1
231,andrei semenov ,1,0,0,0,1
232,andrew craig,3,3,0,0,6
233,andrew craig ,0,1,0,0,1
234,andrew holbrook,2,3,0,0,5
235,andrew sanchez,1,2,0,0,3
236,andrew sanchez ,4,3,0,0,7
237,andy anderson,0,1,0,0,1
238,andy enz,0,3,0,0,3
239,andy ogle,0,1,0,0,1
240,andy ogle ,1,4,0,0,5
241,andy wang,0,1,0,0,1
242,ange loosa,1,2,0,1,4
243,ange loosa ,1,0,0,0,1
244,angel pacheco ,0,1,0,0,1
245,angela hill,6,12,0,0,18
246,angela hill ,6,2,0,0,8
247,angela magana,0,2,0,0,2
248,angela magana ,0,1,0,0,1
249,anistavio medeiros ,0,1,0,0,1
250,anna elmose,0,1,0,0,1
251,anna elmose ,0,1,0,0,1
252,ansar chalangov,0,2,0,0,2
253,anshul jubli,1,0,0,0,1
254,anthony birchak,1,3,0,0,4
255,anthony birchak ,1,1,0,0,2
256,anthony christodoulou,0,1,0,0,1
257,anthony christodoulou ,0,1,0,0,1
258,anthony hamilton,2,3,0,0,5
259,anthony hamilton ,1,4,0,0,5
260,anthony hernandez,3,1,0,0,4
261,anthony hernandez ,4,1,0,0,5
262,anthony ivy,0,1,0,0,1
263,anthony ivy ,0,1,0,0,1
264,anthony johnson,2,5,0,0,7
265,anthony johnson ,11,1,0,0,12
266,anthony lapsley,0,1,0,0,1
267,anthony lapsley ,0,1,0,0,1
268,anthony macias,0,2,0,0,2
269,anthony macias ,1,0,0,0,1
270,anthony njokuani,1,3,0,0,4
271,anthony njokuani ,2,2,0,0,4
272,anthony perosh,3,4,0,0,7
273,anthony perosh ,2,3,0,0,5
274,anthony pettis,3,4,0,0,7
275,anthony pettis ,8,5,0,0,13
276,anthony rocco martin,4,4,0,0,8
277,anthony rocco martin ,5,2,0,0,7
278,anthony smith,6,6,0,0,12
279,anthony smith ,6,5,0,0,11
280,anthony torres,0,1,0,0,1
281,anthony torres ,1,0,0,0,1
282,anton kuivanen,1,1,0,0,2
283,anton kuivanen ,0,1,0,0,1
284,anton turkalj,0,4,0,0,4
285,anton zafir,0,2,0,0,2
286,antoni hardonk,0,4,0,0,4
287,antoni hardonk ,4,0,0,0,4
288,antonina shevchenko,1,3,0,0,4
289,antonina shevchenko ,3,1,0,0,4
290,antonio arroyo,0,2,0,0,2
291,antonio arroyo ,0,1,0,0,1
292,antonio banuelos,0,1,0,0,1
293,antonio braga neto,0,1,0,0,1
294,antonio braga neto ,1,1,0,0,2
295,antonio carlos junior,2,3,0,0,5
296,antonio carlos junior ,5,2,0,1,8
297,antonio carvalho,0,1,0,0,1
298,antonio carvalho ,2,1,0,0,3
299,antonio dos santos,0,2,0,0,2
300,antonio mckee,0,1,0,0,1
301,antonio mendes,0,2,0,0,2
302,antonio rodrigo nogueira,0,4,0,0,4
303,antonio rodrigo nogueira ,5,2,0,0,7
304,antonio silva,2,4,1,0,7
305,antonio silva ,1,3,0,0,4
306,antonio trocoli,0,2,0,0,2
307,anying wang,1,0,0,0,1
308,anying wang ,0,1,0,0,1
309,aoriqileng ,3,1,0,0,4
310,ariane carnelossi,3,0,0,0,3
311,ariane carnelossi ,0,2,0,0,2
312,ariane da silva ,0,2,0,0,2
313,ariane lipski,1,4,0,0,5
314,ariane lipski ,5,1,0,0,6
315,ariel beck ,0,1,0,0,1
316,arjan bhullar,1,0,0,0,1
317,arjan bhullar ,2,1,0,0,3
318,arman tsarukyan,4,1,0,0,5
319,arman tsarukyan ,5,1,0,0,6
320,armen petrosyan,0,2,0,0,2
321,armen petrosyan ,3,0,0,0,3
322,arnold allen,3,1,0,0,4
323,arnold allen ,8,1,0,0,9
324,artem lobov,0,2,0,0,2
325,artem lobov ,2,3,0,0,5
326,asbel cancio,0,1,0,0,1
327,ashkan mokhtarian,0,2,0,0,2
328,ashlee evans-smith,2,2,0,0,4
329,ashlee evans-smith ,1,4,0,0,5
330,ashley yoder,0,5,0,0,5
331,ashley yoder ,3,3,0,0,6
332,askar askarov,3,0,1,0,4
333,askar askarov ,0,1,0,0,1
334,askar mozharov,0,1,0,0,1
335,aspen ladd,1,1,0,0,2
336,aspen ladd ,3,2,0,0,5
337,assu almabayev,1,0,0,0,1
