name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,wins,losses,draws,nc,total_matches
robert drysdale,,190.5,92.99,,Orthodox,1981-10-05,0,0,0,1,1
gerald strebendt,The Finishing Machine,175.26,70.31,,Orthodox,1979-03-01,0,1,0,0,1
neil grove,Goliath,198.12,120.2,,Orthodox,1971-01-18,0,1,0,0,1
bo nickal,,185.42,83.91,193.04,Southpaw,1996-01-14,4,0,0,0,4
ian entwistle,Enty,165.1,61.23,,Orthodox,1986-11-19,1,2,0,0,3
westin wilson,,185.42,65.77,185.42,Southpaw,1989-01-24,1,2,0,0,3
dione barbosa,The Witch,167.64,56.7,167.64,Orthodox,1992-05-08,1,1,0,0,2
zach reese,Savage,193.04,83.91,195.58,Switch,1994-03-24,1,1,0,0,2
josh rafferty,,182.88,77.11,,Orthodox,1981-01-06,0,1,0,0,1
jeff newton,,187.96,92.99,,Sideways,1966-12-11,0,1,0,0,1
ansar chalangov,,175.26,77.11,,Orthodox,1979-10-30,0,2,0,0,2
paul sass,,182.88,70.31,185.42,Orthodox,1988-08-04,3,2,0,0,5
james lee,,180.34,92.99,,Southpaw,1973-09-22,0,1,0,0,1
jason black,The Black Legion,172.72,70.31,,Orthodox,1972-07-15,0,2,0,0,2
john albert,Prince,172.72,61.23,172.72,Orthodox,1986-10-13,1,4,0,0,5
shamil gaziev,,193.04,120.2,198.12,Orthodox,1990-02-10,2,1,0,0,3
david terrell,The Soul Assassin,185.42,83.91,,Southpaw,1978-01-09,2,1,0,0,3
rob macdonald,Maximus,190.5,92.99,198.12,Orthodox,1978-09-05,1,2,0,0,3
matt arroyo,No Regard,177.8,77.11,182.88,Orthodox,1982-09-01,1,2,0,0,3
diego lopes,,180.34,65.77,182.88,Orthodox,1994-12-30,5,1,0,0,6
colin robinson,Big C,193.04,110.22,,Orthodox,1968-11-27,0,2,0,0,2
justin levens,The Executioner,180.34,83.91,,Orthodox,1980-04-18,0,2,0,0,2
mike ciesnolevicz,,182.88,106.59,,Orthodox,1979-10-28,1,1,0,0,2
alex schoenauer,,190.5,83.91,,Orthodox,1976-05-05,0,1,0,0,1
tj waldburger,,180.34,77.11,190.5,Orthodox,1988-04-25,4,4,0,0,8
ronda rousey,Rowdy,170.18,61.23,167.64,Orthodox,1987-02-01,6,2,0,0,8
keith rockel,Rock,182.88,83.91,,Orthodox,,1,1,0,0,2
mark hughes,,175.26,92.99,,Southpaw,1973-10-13,1,0,0,0,1
jimmy flick,The Brick,170.18,56.7,172.72,Orthodox,1990-09-07,2,3,0,0,5
branden lee hinkle,The Iron Lion,190.5,106.59,,Orthodox,1973-07-29,1,2,0,0,3
genki sudo,Neo-Samurai,175.26,70.31,,Orthodox,1978-03-08,2,1,0,0,3
sean mccorkle,,200.66,120.2,205.74,Orthodox,1976-07-17,1,2,0,0,3
victor hugo,Striker,170.18,61.23,180.34,Orthodox,1992-11-22,1,0,0,0,1
rousimar palhares,Toquinho,172.72,77.11,180.34,Orthodox,1980-02-26,8,4,0,0,12
karine silva,Killer,165.1,56.7,170.18,Orthodox,1993-12-02,4,1,0,0,5
dustin hazelett,McLovin,185.42,77.11,193.04,Orthodox,1986-04-29,5,5,0,0,10
dan evensen,The Viking,190.5,113.4,,Orthodox,1974-06-01,0,2,0,0,2
alberto crane,,165.1,70.31,,Orthodox,1976-07-14,0,2,0,0,2
steve byrnes,The Sergeant,182.88,77.11,,Orthodox,,0,1,0,0,1
aliaskhab khizriev,Black Wolf,175.26,83.91,187.96,Southpaw,1990-08-24,1,0,0,1,2
bill mahood,The Butcher,190.5,90.72,,Orthodox,1967-02-01,0,1,0,0,1
antonio trocoli,Malvado,195.58,92.99,208.28,Orthodox,1990-12-06,0,2,0,0,2
hector urbina,El Toro,180.34,77.11,185.42,Orthodox,1987-09-17,1,2,0,0,3
gabriel bonfim,Marretinha,185.42,77.11,182.88,Orthodox,1997-08-20,3,1,0,0,4
james wilks,Lightning,185.42,77.11,190.5,Orthodox,1978-05-04,2,2,0,0,4
assu almabayev,Zulfikar,162.56,56.7,165.1,Orthodox,1994-01-25,1,0,0,0,1
nyamjargal tumendemberel,Art of Knockout,170.18,56.7,180.34,Orthodox,1998-03-22,0,1,0,0,1
jaqueline amorim,,160.02,52.16,172.72,Orthodox,1995-06-24,3,1,0,0,4
hyunsung park,Peace of Mind,170.18,56.7,167.64,Orthodox,1995-11-04,2,0,0,0,2
per eklund,,177.8,70.31,182.88,Orthodox,,1,2,0,0,3
rolando delgado,Roli,190.5,70.31,195.58,Orthodox,1981-11-22,1,2,0,0,3
mike king,,190.5,83.91,,,,0,1,0,0,1
kit cope,Havoc,182.88,77.11,,Orthodox,1977-03-17,0,1,0,0,1
chris sanford,,180.34,83.91,,Orthodox,1968-03-12,0,1,0,0,1
junie browning,,175.26,70.31,,Orthodox,1984-05-12,1,1,0,0,2
preston parsons,Pressure,180.34,77.11,180.34,Orthodox,1995-07-15,2,3,0,0,5
zhang tiequan,The Wolf,172.72,70.31,175.26,Orthodox,1978-07-25,1,3,0,0,4
shannon gugerty,,177.8,70.31,180.34,Orthodox,1981-12-30,2,3,0,0,5
allen berube,Monstah Lobstah,172.72,70.31,,Orthodox,1974-08-25,0,1,0,0,1
tim credeur,,190.5,83.91,190.5,Orthodox,1977-07-09,3,2,0,0,5
herbert burns,The Blaze,175.26,65.77,185.42,Orthodox,1988-02-02,2,4,0,0,6
edwin dewees,Babyface,185.42,83.91,,Orthodox,1982-08-07,0,3,0,0,3
ricardo romero,,182.88,92.99,193.04,Orthodox,1978-04-15,1,2,0,0,3
rob broughton,The Bear,187.96,120.2,187.96,Orthodox,1983-03-03,1,2,0,0,3
dmitry sosnovskiy,Wicked Machine,190.5,108.86,195.58,Orthodox,1989-07-06,1,0,0,0,1
jesse taylor,JT Money,182.88,77.11,185.42,Orthodox,1983-01-02,1,1,0,0,2
alexandre dantas,Cafe,187.96,107.95,,Orthodox,1979-03-01,0,2,0,0,2
kevin jousset,Air,187.96,77.11,190.5,Orthodox,1993-05-02,2,1,0,0,3
manny bermudez,The Bermudez Triangle,177.8,65.77,180.34,Orthodox,1994-07-16,3,2,0,0,5
maiquel falcao,Big Rig,180.34,83.91,,Orthodox,1981-03-08,1,0,0,0,1
danny mitchell,The Cheesecake Assassin,187.96,77.11,,Orthodox,1986-08-08,0,2,0,0,2
