name,nickname,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth
Robert Drysdale,,190.5,92.99,,Orthodox,1981-10-05
Daniel McWilliams,The Animal,185.42,83.91,,,
Dan Molina,,177.8,97.98,,,
Paul Ruiz,,167.64,61.23,,,
Collin Huckbody,All In,190.5,83.91,193.04,Orthodox,1994-09-29
Gerald Strebendt,The Finishing Machine,175.26,70.31,,Orthodox,1979-03-01
Isaiah Hill,,177.8,70.31,,,
Kenneth Seegrist,,182.88,83.91,,Orthodox,
Will Kerr,,177.8,70.31,175.26,Orthodox,1982-10-21
Neil Grove,Goliath,198.12,120.2,,Orthodox,1971-01-18
Raphael Butler,The Silencer,190.5,118.39,,,
Bo Nickal,,185.42,83.91,193.04,Southpaw,1996-01-14
Ian Entwistle,Enty,165.1,61.23,,Orthodox,1986-11-19
Megumi Fujii,Mega Megu,160.02,51.26,,,
Gaston Reyno,Tonga,182.88,65.77,,,
Kenny Ento,Tha' Dragon,187.96,87.09,,,
AJ McKee,Mercenary,177.8,65.77,,,
Westin Wilson,,185.42,65.77,185.42,Southpaw,1989-01-24
Philip Perez,,165.1,70.31,,Southpaw,
Brandon Shuey,Big Dawg,170.18,70.31,,Orthodox,1976-02-01
Dave Phillips,The Rockstar,182.88,83.91,,Orthodox,1980-01-12
Johnny Sampaio,,172.72,77.11,,Orthodox,1975-09-11
Dione Barbosa,The Witch,167.64,56.7,167.64,Orthodox,1992-05-08
Zach Reese,Savage,193.04,83.91,195.58,Switch,1994-03-24
Rodrigo Gripp de Sousa,Riscado,180.34,92.99,,Orthodox,
Justin Burlinson,,185.42,77.11,187.96,Switch,1997-05-19
Poppies Martinez,The Tachi Kid,175.26,65.77,,,
Josh Rafferty,,182.88,77.11,,Orthodox,1981-01-06
Daniel Puder,,190.5,106.59,,Orthodox,1981-10-09
Yukio Sakaguchi,,175.26,83.91,,Orthodox,1973-07-26
Magomed Sultanakhmedov,,187.96,83.91,,Southpaw,
Jeff Newton,,187.96,92.99,,Sideways,1966-12-11
Emiliano Sordi,He-Man,187.96,92.99,,Orthodox,1991-02-15
Erik Apple,,182.88,77.11,,Orthodox,1977-08-26
Fazlo Mulabitinovic,,,61.23,,,
J.T Taylor,The Outlaw,177.8,,,,
Adam Meredith,,187.96,77.11,,,
Klayton Mai,,175.26,56.7,,,
Ron Keslar,,,83.91,,,
Bobby McAndrews,,,,,Orthodox,
Ansar Chalangov,,175.26,77.11,,Orthodox,1979-10-30
Jeremiah Constant,,185.42,108.86,,Orthodox,1974-07-19
Paul Sass,,182.88,70.31,185.42,Orthodox,1988-08-04
Eddy Millis,,185.42,83.91,,,
James Lee,,180.34,92.99,,Southpaw,1973-09-22
Mikhail Iloukhine,,175.26,92.99,,Orthodox,1966-11-21
Kyle Jensen,,175.26,77.11,,Orthodox,1979-07-20
Ilya Kotau,,,77.11,,,
Trevor Harris,,167.64,65.77,,,
Jinnosuke Kashimura,,170.18,70.31,180.34,Southpaw,2001-08-12
Tom Erikson,The Big Cat,190.5,127.01,,Orthodox,
Jason Black,The Black Legion,172.72,70.31,,Orthodox,1972-07-15
Francisco France,Kiko,182.88,92.99,,,
John Albert,Prince,172.72,61.23,172.72,Orthodox,1986-10-13
Daniel Swain,,175.26,65.77,177.8,Orthodox,1991-01-30
Neiman Gracie,,182.88,77.11,,,
Shamil Gaziev,,193.04,120.2,198.12,Orthodox,1990-02-10
Masakatsu Funaki,,182.88,83.91,,Southpaw,1969-03-13
David Terrell,The Soul Assassin,185.42,83.91,,Southpaw,1978-01-09
Rob MacDonald,Maximus,190.5,92.99,198.12,Orthodox,1978-09-05
Nick Barnes,,180.34,77.11,,,
Matt Arroyo,No Regard,177.8,77.11,182.88,Orthodox,1982-09-01
Diego Lopes,,180.34,65.77,182.88,Orthodox,1994-12-30
Colin Robinson,Big C,193.04,110.22,,Orthodox,1968-11-27
Nick Garcia,Nitro,162.56,56.7,,,
Justin Levens,The Executioner,180.34,83.91,,Orthodox,1980-04-18
Mike Ciesnolevicz,,182.88,106.59,,Orthodox,1979-10-28
Magno Almeida,,182.88,70.31,,,
George Pacurariu,Constantine,170.18,61.23,,,
Ronaldo Candido,Pacman,167.64,56.7,,Southpaw,1989-04-24
Alex Schoenauer,,190.5,83.91,,Orthodox,1976-05-05
Justin Guthrie,,185.42,77.11,,,
Billy Pasulatan,,165.1,56.7,167.64,Switch,1991-08-07
Aaron Ely,The Cyborg,172.72,61.23,,,
Shohei Nose,,167.64,61.23,172.72,Switch,1997-10-19
TJ Waldburger,,180.34,77.11,190.5,Orthodox,1988-04-25
Ronda Rousey,Rowdy,170.18,61.23,167.64,Orthodox,1987-02-01
Nik Theotikos,,,83.91,,Orthodox,
Valentijn Overeem,,190.5,104.33,,Orthodox,1976-08-17
Keith Rockel,Rock,182.88,83.91,,Orthodox,
Mark Hughes,,175.26,92.99,,Southpaw,1973-10-13
Jimmy Flick,The Brick,170.18,56.7,172.72,Orthodox,1990-09-07
Kaline Medeiros,The Dark Angel,160.02,52.16,,,
Takeru Uchida,,165.1,56.7,172.72,Southpaw,2002-09-30
Joe Pearson,The Triangular Strangler,177.8,65.77,,Orthodox,1978-03-28
Jordan Bailey,,175.26,65.77,,,
Branden Lee Hinkle,The Iron Lion,190.5,106.59,,Orthodox,1973-07-29
Goiti Yamauchi,,177.8,65.77,,,
Masakatsu Okuda,,,,,,
Wayne Cole,,185.42,92.99,,Orthodox,
Jason Glaza,,182.88,104.33,,,
Bret Bergmark,The Angry Hick,175.26,77.11,,,
Genki Sudo,Neo-Samurai,175.26,70.31,,Orthodox,1978-03-08
Yasuhito Namekawa,,175.26,92.99,,Orthodox,1974-10-27
Sean McCorkle,,200.66,120.2,205.74,Orthodox,1976-07-17
Jeremy Lang,,180.34,92.99,,Southpaw,1975-05-11
Rene Kronvold,,172.72,77.11,,Orthodox,
Victor Hugo,Striker,170.18,61.23,180.34,Orthodox,1992-11-22
Kain Royer,,,83.91,,,
Rousimar Palhares,Toquinho,172.72,77.11,180.34,Orthodox,1980-02-26
Clay Mitchell,,187.96,83.91,,,
Karine Silva,Killer,165.1,56.7,170.18,Orthodox,1993-12-02
Dustin Hazelett,McLovin,185.42,77.11,193.04,Orthodox,1986-04-29
HanSeul Kim,Spade,185.42,77.11,187.96,Southpaw,1990-06-19
Shinya Aoki,Tobikan Judan,180.34,69.85,,Southpaw,1983-05-09
Marcus Hicks,The Wrecking Ball,167.64,70.31,162.56,Southpaw,1975-11-25
Dan Evensen,The Viking,190.5,113.4,,Orthodox,1974-06-01
Ralph Gracie,,175.26,83.01,,Orthodox,
Charlie Kohler,,175.26,70.31,,Orthodox,1976-07-16
Alberto Crane,,165.1,70.31,,Orthodox,1976-07-14
Mike Hayes,,193.04,104.33,,Orthodox,
Bruno Carvalho,,172.72,69.85,,,
Steve Byrnes,The Sergeant,182.88,77.11,,Orthodox,
Aliaskhab Khizriev,Black Wolf,175.26,83.91,187.96,Southpaw,1990-08-24
