EVENT,BOUT,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION,total_time_seconds
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,3,282,colby covington,joaquin buckley,5.0,5.0,0.0,0.0,0,0,welterweight,0,1,0,5,2024-12-14,"tampa, florida, usa",882.0
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,3,96,cub swanson,billy quarantillo,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,0,3,2024-12-14,"tampa, florida, usa",696.0
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,3,117,manel kape,bruno silva,3.0,5.0,0.0,0.0,0,0,flyweight,1,0,0,1,2024-12-14,"tampa, florida, usa",717.0
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,3,224,vitor petrino,dustin jacoby,3.0,5.0,0.0,0.0,0,0,light heavyweight,0,1,0,7,2024-12-14,"tampa, florida, usa",824.0
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,3,300,adrian yanez,daniel marcos,3.0,5.0,0.0,0.0,0,0,bantamweight,0,1,2,2,2024-12-14,"tampa, florida, usa",900.0
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,3,300,navajo stirling,tuco tokkos,3.0,5.0,0.0,0.0,0,0,light heavyweight,1,0,2,7,2024-12-14,"tampa, florida, usa",900.0
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,2,123,michael johnson,ottman azaitar,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,0,4,2024-12-14,"tampa, florida, usa",423.0
ufc fight night: covington vs. buckley,joel alvarez vs. drakkar klose,1,168,joel alvarez,drakkar klose,3.0,5.0,0.0,0.0,0,0,lightweight,1,0,0,4,2024-12-14,"tampa, florida, usa",168.0
ufc fight night: covington vs. buckley,sean woodson vs. fernando padilla,1,298,sean woodson,fernando padilla,3.0,5.0,0.0,0.0,0,0,featherweight,1,0,0,3,2024-12-14,"tampa, florida, usa",298.0
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,3,300,miles johns,felipe lima,3.0,5.0,0.0,0.0,0,0,featherweight,0,1,2,3,2024-12-14,"tampa, florida, usa",900.0
ufc fight night: covington vs. buckley,miranda maverick vs. jamey-lyn horth,3,300,miranda maverick,jamey-lyn horth,3.0,5.0,0.0,0.0,1,0,flyweight,1,0,2,1,2024-12-14,"tampa, florida, usa",900.0
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,3,300,davey grant,ramon taveras,3.0,5.0,0.0,0.0,0,0,bantamweight,1,0,2,2,2024-12-14,"tampa, florida, usa",900.0
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,3,300,josefine knutsson,piera rodriguez,3.0,5.0,0.0,0.0,1,0,strawweight,0,1,2,0,2024-12-14,"tampa, florida, usa",900.0
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,2,125,alexandre pantoja,kai asakura,5.0,5.0,0.0,0.0,0,1,flyweight,1,0,1,1,2024-12-07,"las vegas, nevada, usa",425.0
ufc 310: pantoja vs. asakura,shavkat rakhmonov vs. ian machado garry,5,300,shavkat rakhmonov,ian machado garry,5.0,5.0,0.0,0.0,0,0,welterweight,1,0,2,5,2024-12-07,"las vegas, nevada, usa",1500.0
ufc 310: pantoja vs. asakura,ciryl gane vs. alexander volkov,3,300,ciryl gane,alexander volkov,3.0,5.0,0.0,0.0,0,0,heavyweight,1,0,2,8,2024-12-07,"las vegas, nevada, usa",900.0
