EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR. %,TD %,SUB.ATT,REV.,CTRL,sig_str_attempt,sig_str_land,total_str_attempt,total_str_land,touchdown_attempt,takedown_land,total_leg_attempt,total_leg_land,total_distance_strike_attempt,total_distance_strike_land,total_body_attempt,total_body_land,total_clinch_attempt,total_clinch_land,total_ground_attempt,total_ground_land,total_head_attempt,total_head_land,weight_class,gender,is_title_bout,DATE,LOCATION
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 1,colby covington,0.0,0.19,0.0,0.0,0.0,22.0,10.0,51.0,10.0,51.0,0.0,2.0,1.0,3.0,10.0,51.0,4.0,6.0,0.0,0.0,0.0,0.0,5.0,42.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 2,colby covington,0.0,0.38,0.33,0.0,0.0,88.0,19.0,50.0,25.0,56.0,1.0,3.0,2.0,2.0,17.0,48.0,4.0,5.0,0.0,0.0,2.0,2.0,13.0,43.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 3,colby covington,0.0,0.34,0.0,0.0,0.0,110.0,8.0,23.0,36.0,54.0,0.0,3.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,8.0,23.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 1,joaquin buckley,0.0,0.41,0.0,0.0,0.0,9.0,23.0,55.0,23.0,55.0,0.0,0.0,1.0,1.0,20.0,49.0,4.0,7.0,1.0,2.0,2.0,4.0,18.0,47.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 2,joaquin buckley,0.0,0.5,0.0,0.0,0.0,1.0,28.0,55.0,29.0,56.0,0.0,1.0,2.0,2.0,24.0,50.0,6.0,7.0,4.0,5.0,0.0,0.0,20.0,46.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 3,joaquin buckley,0.0,0.58,0.0,1.0,0.0,68.0,24.0,41.0,29.0,49.0,0.0,0.0,0.0,0.0,21.0,36.0,3.0,3.0,1.0,1.0,2.0,4.0,21.0,38.0,welterweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 1,cub swanson,0.0,0.68,0.0,0.0,0.0,0.0,39.0,57.0,40.0,58.0,0.0,0.0,9.0,9.0,39.0,57.0,7.0,10.0,0.0,0.0,0.0,0.0,23.0,38.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 2,cub swanson,0.0,0.57,0.0,0.0,0.0,9.0,40.0,69.0,54.0,83.0,0.0,0.0,1.0,2.0,36.0,65.0,4.0,6.0,4.0,4.0,0.0,0.0,35.0,61.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 3,cub swanson,1.0,0.62,0.0,0.0,0.0,1.0,20.0,32.0,20.0,32.0,0.0,0.0,2.0,2.0,20.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,28.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 1,billy quarantillo,0.0,0.42,0.33,0.0,0.0,14.0,37.0,88.0,37.0,88.0,1.0,3.0,9.0,12.0,37.0,87.0,6.0,10.0,0.0,1.0,0.0,0.0,22.0,66.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 2,billy quarantillo,0.0,0.36,0.4,0.0,0.0,98.0,38.0,105.0,49.0,117.0,2.0,5.0,1.0,2.0,32.0,91.0,6.0,12.0,6.0,14.0,0.0,0.0,31.0,91.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 3,billy quarantillo,0.0,0.5,0.0,0.0,0.0,15.0,22.0,44.0,22.0,44.0,0.0,3.0,2.0,3.0,22.0,44.0,8.0,10.0,0.0,0.0,0.0,0.0,12.0,31.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 1,manel kape,0.0,0.66,0.0,0.0,0.0,0.0,32.0,48.0,32.0,48.0,0.0,0.0,9.0,9.0,31.0,47.0,2.0,2.0,1.0,1.0,0.0,0.0,21.0,37.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 2,manel kape,0.0,0.59,0.0,0.0,0.0,0.0,39.0,66.0,39.0,66.0,0.0,0.0,9.0,9.0,38.0,65.0,5.0,5.0,1.0,1.0,0.0,0.0,25.0,52.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 3,manel kape,1.0,0.74,0.0,0.0,0.0,1.0,40.0,54.0,40.0,54.0,0.0,0.0,4.0,4.0,40.0,53.0,11.0,12.0,0.0,0.0,0.0,1.0,25.0,38.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 1,bruno silva,0.0,0.55,0.0,0.0,0.0,0.0,19.0,34.0,21.0,36.0,0.0,2.0,2.0,2.0,18.0,33.0,10.0,14.0,1.0,1.0,0.0,0.0,7.0,18.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 2,bruno silva,0.0,0.62,0.0,0.0,0.0,0.0,27.0,43.0,28.0,44.0,0.0,3.0,7.0,7.0,26.0,42.0,7.0,9.0,1.0,1.0,0.0,0.0,13.0,27.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 3,bruno silva,0.0,0.31,0.0,0.0,0.0,0.0,11.0,35.0,11.0,35.0,0.0,0.0,0.0,0.0,11.0,35.0,4.0,6.0,0.0,0.0,0.0,0.0,7.0,29.0,flyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 1,vitor petrino,0.0,0.38,0.0,0.0,0.0,2.0,10.0,26.0,10.0,26.0,0.0,1.0,3.0,5.0,10.0,26.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,19.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 2,vitor petrino,0.0,0.4,0.0,0.0,0.0,0.0,19.0,47.0,19.0,47.0,0.0,0.0,1.0,2.0,19.0,47.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,42.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 3,vitor petrino,0.0,0.47,0.0,0.0,0.0,38.0,11.0,23.0,11.0,23.0,0.0,3.0,3.0,3.0,11.0,23.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,18.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 1,dustin jacoby,0.0,0.37,0.0,0.0,0.0,4.0,12.0,32.0,12.0,32.0,0.0,0.0,6.0,8.0,8.0,25.0,1.0,2.0,4.0,7.0,0.0,0.0,5.0,22.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 2,dustin jacoby,0.0,0.5,0.0,0.0,0.0,0.0,18.0,36.0,18.0,36.0,0.0,0.0,7.0,8.0,18.0,36.0,3.0,4.0,0.0,0.0,0.0,0.0,8.0,24.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 3,dustin jacoby,1.0,0.53,0.0,0.0,0.0,16.0,15.0,28.0,17.0,32.0,0.0,0.0,2.0,2.0,13.0,26.0,3.0,3.0,1.0,1.0,1.0,1.0,10.0,23.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,adrian yanez,0.0,0.43,0.0,0.0,0.0,23.0,24.0,55.0,29.0,60.0,0.0,0.0,7.0,7.0,24.0,55.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,46.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,adrian yanez,0.0,0.41,0.0,0.0,0.0,0.0,41.0,98.0,41.0,98.0,0.0,0.0,7.0,10.0,41.0,97.0,5.0,6.0,0.0,1.0,0.0,0.0,29.0,82.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,adrian yanez,0.0,0.46,0.0,0.0,0.0,52.0,14.0,30.0,15.0,31.0,0.0,1.0,0.0,0.0,14.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,28.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,daniel marcos,0.0,0.63,0.0,0.0,0.0,46.0,29.0,46.0,30.0,47.0,0.0,0.0,11.0,11.0,27.0,44.0,4.0,5.0,2.0,2.0,0.0,0.0,14.0,30.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,daniel marcos,0.0,0.55,0.0,0.0,0.0,0.0,39.0,70.0,39.0,70.0,0.0,2.0,5.0,8.0,39.0,70.0,5.0,10.0,0.0,0.0,0.0,0.0,29.0,52.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,daniel marcos,0.0,0.58,1.0,0.0,0.0,157.0,18.0,31.0,26.0,39.0,2.0,2.0,1.0,1.0,15.0,28.0,0.0,1.0,1.0,1.0,2.0,2.0,17.0,29.0,bantamweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 1,navajo stirling,0.0,0.36,0.0,0.0,0.0,23.0,21.0,57.0,24.0,62.0,0.0,0.0,4.0,7.0,20.0,54.0,9.0,15.0,1.0,3.0,0.0,0.0,8.0,35.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 2,navajo stirling,0.0,0.62,0.0,0.0,0.0,0.0,22.0,35.0,25.0,39.0,0.0,0.0,2.0,2.0,17.0,28.0,12.0,14.0,5.0,7.0,0.0,0.0,8.0,19.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 3,navajo stirling,0.0,0.55,0.0,0.0,0.0,31.0,35.0,63.0,50.0,80.0,0.0,0.0,2.0,2.0,33.0,60.0,16.0,21.0,2.0,3.0,0.0,0.0,17.0,40.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 1,tuco tokkos,0.0,0.41,0.0,0.0,0.0,0.0,10.0,24.0,10.0,24.0,0.0,2.0,4.0,7.0,9.0,22.0,3.0,3.0,1.0,2.0,0.0,0.0,3.0,14.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 2,tuco tokkos,0.0,0.28,0.6,0.0,0.0,149.0,10.0,35.0,12.0,37.0,3.0,5.0,1.0,3.0,8.0,30.0,1.0,1.0,2.0,5.0,0.0,0.0,8.0,31.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 3,tuco tokkos,0.0,0.38,0.0,0.0,0.0,67.0,12.0,31.0,12.0,32.0,0.0,2.0,4.0,5.0,11.0,28.0,1.0,1.0,1.0,3.0,0.0,0.0,7.0,25.0,light heavyweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 1,michael johnson,0.0,0.35,0.0,0.0,0.0,10.0,11.0,31.0,11.0,31.0,0.0,1.0,2.0,4.0,10.0,30.0,3.0,6.0,1.0,1.0,0.0,0.0,6.0,21.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 2,michael johnson,1.0,0.42,0.0,0.0,0.0,2.0,8.0,19.0,8.0,19.0,0.0,0.0,1.0,1.0,6.0,16.0,0.0,2.0,0.0,0.0,2.0,3.0,7.0,16.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 1,ottman azaitar,0.0,0.27,0.0,0.0,0.0,0.0,10.0,37.0,14.0,42.0,0.0,0.0,0.0,3.0,9.0,36.0,5.0,9.0,1.0,1.0,0.0,0.0,5.0,25.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,Round 2,ottman azaitar,0.0,0.31,0.0,0.0,0.0,0.0,6.0,19.0,6.0,19.0,0.0,0.0,1.0,2.0,6.0,19.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,14.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,joel alvarez vs. drakkar klose,Round 1,joel alvarez,0.0,0.83,0.0,0.0,0.0,4.0,20.0,24.0,39.0,44.0,0.0,0.0,1.0,1.0,12.0,16.0,4.0,4.0,8.0,8.0,0.0,0.0,15.0,19.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,joel alvarez vs. drakkar klose,Round 1,drakkar klose,0.0,0.53,1.0,0.0,0.0,68.0,7.0,13.0,16.0,23.0,1.0,1.0,4.0,4.0,7.0,12.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,6.0,lightweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,sean woodson vs. fernando padilla,Round 1,sean woodson,1.0,0.53,0.0,0.0,0.0,63.0,38.0,71.0,38.0,71.0,0.0,0.0,3.0,4.0,36.0,69.0,0.0,3.0,0.0,0.0,2.0,2.0,35.0,64.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,sean woodson vs. fernando padilla,Round 1,fernando padilla,0.0,0.31,0.0,0.0,0.0,9.0,22.0,69.0,24.0,72.0,0.0,0.0,4.0,4.0,17.0,61.0,4.0,6.0,5.0,8.0,0.0,0.0,14.0,59.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 1,miles johns,0.0,0.27,0.0,0.0,0.0,29.0,12.0,43.0,12.0,43.0,0.0,0.0,1.0,2.0,12.0,43.0,2.0,2.0,0.0,0.0,0.0,0.0,9.0,39.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 2,miles johns,0.0,0.24,0.0,0.0,0.0,34.0,15.0,61.0,18.0,65.0,0.0,1.0,3.0,4.0,15.0,61.0,3.0,3.0,0.0,0.0,0.0,0.0,9.0,54.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 3,miles johns,0.0,0.12,0.0,0.0,1.0,32.0,4.0,33.0,5.0,35.0,0.0,0.0,1.0,2.0,4.0,31.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,29.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 1,felipe lima,0.0,0.41,0.0,0.0,0.0,2.0,20.0,48.0,20.0,48.0,0.0,1.0,3.0,9.0,18.0,46.0,4.0,5.0,2.0,2.0,0.0,0.0,13.0,34.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 2,felipe lima,0.0,0.41,1.0,0.0,0.0,44.0,24.0,58.0,27.0,61.0,1.0,1.0,1.0,2.0,24.0,56.0,2.0,4.0,0.0,1.0,0.0,1.0,21.0,52.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miles johns vs. felipe lima,Round 3,felipe lima,0.0,0.39,0.33,1.0,0.0,129.0,11.0,28.0,13.0,31.0,1.0,3.0,1.0,1.0,10.0,24.0,1.0,1.0,1.0,2.0,0.0,2.0,9.0,26.0,featherweight,0.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miranda maverick vs. jamey-lyn horth,Round 1,miranda maverick,0.0,0.33,0.0,0.0,0.0,169.0,8.0,24.0,20.0,37.0,0.0,6.0,3.0,7.0,8.0,23.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,15.0,flyweight,1.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miranda maverick vs. jamey-lyn horth,Round 2,miranda maverick,0.0,0.75,0.5,0.0,0.0,97.0,3.0,4.0,15.0,17.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,flyweight,1.0,0.0,2024-12-14,"tampa, florida, usa"
ufc fight night: covington vs. buckley,miranda maverick vs. jamey-lyn horth,Round 3,miranda maverick,0.0,0.32,1.0,0.0,0.0,144.0,13.0,40.0,26.0,63.0,1.0,1.0,2.0,3.0,13.0,39.0,2.0,3.0,0.0,0.0,0.0,1.0,9.0,34.0,flyweight,1.0,0.0,2024-12-14,"tampa, florida, usa"
