Name,Nickname,Weight+AF8-Class,Knockouts,Submissions,First+AF8-Round+AF8-Finishes,Striking+AF8-Accuracy,Takedown+AF8-Accuracy,Sig+AF8-Str+AF8-Attempted Total,Takedowns+AF8-Landed+AF8-Total,Takedowns+AF8-Attempted+AF8-Total,Sig+AF8-Strikes+AF8-Per Min,Takedown+AF8-Avg+AF8-Per Min,Sig+AF8-Str+AF8-Def,Knockdown+AF8-Avg,Sig+AF8-Strikes+AF8-Absorbed+AF8-Per+AF8-Min,Sub+AF8-Avg+AF8-Per+AF8-Min,Takedown+AF8-Def,Avg+AF8-Fight+AF8-Time,Place+AF8-of+AF8-Birth,Octagon+AF8-Debut,Wins,Losses,Draws,Sig+AF8-Str+AF8-Landed Total+AF8-Total,Sig+AF8-Str+AF8-Landed Total+AF8-Percent,Sig+AF8-Strikes+AF8-While+AF8-Clinched+AF8-Total,Sig+AF8-Strikes+AF8-While+AF8-Clinched+AF8-Percent,Sig+AF8-Strikes+AF8-While+AF8-Standing+AF8-Total,Sig+AF8-Strikes+AF8-While+AF8-Standing+AF8-Percent,Sig+AF8-Strikes+AF8-While+AF8-Grounded+AF8-Total,Sig+AF8-Strikes+AF8-While+AF8-Grounded+AF8-Percent,Sig+AF8-Strikes+AF8-Head+AF8-Total,Sig+AF8-Strikes+AF8-Head+AF8-Percent,Sig+AF8-Strikes+AF8-Body+AF8-Total,Sig+AF8-Strikes+AF8-Body+AF8-Percent,Sig+AF8-Strikes+AF8-Leg+AF8-Total,Sig+AF8-Strikes+AF8-Leg+AF8-Percent,Win+AF8-by+AF8-KO/TKO+AF8-Total,Win+AF8-by+AF8-KO/TKO+AF8-Percent,Win+AF8-by+AF8-Decision+AF8-Total,Win+AF8-by+AF8-Decision+AF8-Percent,Win+AF8-by+AF8-Submission+AF8-Total,Win+AF8-by+AF8-Submission+AF8-Percent,img
Danny Abbadi,+ACI-+ACIAIg-The Assassin+ACIAIg-+ACI-,Lightweight Division,0,0,0,0.38,0,155,0,0,3.29,0,0.58,0,4.41,0,0.78,538,+ACI-Orlando, United States+ACI-,+ACI-Jun. 24, 2006+ACI-,2,2,0,59,0,14,0.24,42,0.71,3,0.05,51,0.86,8,0.14,0,0,0,0,0,0,0,0,https://res.cloudinary.com/da7h9bpnj/image/upload/v1740705240/ja3o1ufisq1mx4dld8ba.jpg
Nariman Abbassov,,Lightweight Division,0,0,0,0.2,0,225,0,2,3,0,0.46,0,5.67,0,0.67,900,Kazakhstan,+ACI-Feb. 11, 2025+ACI-,0,1,0,45,0,0,0,45,1,0,0,26,0.58,8,0.18,11,0.24,0,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2022+AC0-09/ABBASOV+AF8-NARIMAN+AF8-R.png?itok+AD0-XGIJDZKQ
Tank Abbott,+ACI-+ACIAIg-Tank+ACIAIg-+ACI-,Heavyweight Division,0,0,0,0.39,0,31,0,0,2.41,0,0.38,0,10.03,0,0.67,100,+ACI-Huntington Beach, United States+ACI-,+ACI-Jul. 14, 1995+ACI-,8,10,0,12,0,7,0.58,4,0.33,1,0.08,12,1,0,0,0,0,0,0,0,0,0,0,https://res.cloudinary.com/da7h9bpnj/image/upload/v1740705240/ja3o1ufisq1mx4dld8ba.jpg
Hamdy Abdelwahab,+ACI-+ACIAIg-The Hammer+ACIAIg-+ACI-,Heavyweight Division,5,0,4,0.52,0.8,197,3,5,3.4,2,0.51,0.5,3.87,0,1,900,Egypt,+ACI-Jul. 30, 2022+ACI-,6,0,0,102,0,2,0.02,70,0.69,30,0.29,76,0.75,8,0.08,18,0.18,5,1,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2025+AC0-01/ABDELWAHAB+AF8-HAMDY+AF8-L+AF8-02+AC0-01.png?itok+AD0-wgTgDKvz
Mansur Abdul+AC0-Malik,,Middleweight Division,6,1,6,0.55,0,141,0,0,6.61,0,0.54,1.29,4.21,0,0.75,350,+ACI-Pittsburgh, United States+ACI-,+ACI-Nov. 9, 2024+ACI-,7,0,0,77,0,2,0.03,28,0.36,47,0.61,74,0.96,2,0.03,1,0.01,6,0.86,0,0,1,0.14,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2025+AC0-02/ABDUL+AC0-MALIK+AF8-MANSUR+AF8-L+AF8-02+AC0-22.png?itok+AD0-Khxfer+AF8-J
Shamil Abdurakhimov,+ACI-+ACIAIg-Abrek+ACIAIg-+ACI-,Heavyweight Division,9,4,10,0.44,0.23,567,5,30,2.41,1.01,0.55,0.29,3.02,0.14,0.45,567,+ACI-Dagestan Republic, Russia+ACI-,+ACI-Apr. 4, 2015+ACI-,20,8,0,251,0,60,0.24,169,0.67,22,0.09,149,0.59,47,0.19,55,0.22,9,0.45,7,0.35,4,0.2,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2023+AC0-02/ABDURAKHIMOV+AF8-SHAMIL+AF8-L+AF8-02+AF8-07.png?itok+AD0ALQ-JAoDmQ7
Daichi Abe,,Welterweight Division,0,0,0,0.34,0.5,508,1,2,3.8,0.33,0.57,0.33,4.49,0,0,900,Japan,+ACI-Sep. 22, 2017+ACI-,6,1,0,171,0,11,0.06,146,0.85,14,0.08,102,0.6,12,0.07,57,0.33,4,0.67,2,0.33,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2022+AC0-03/8c026dcd+AC0-60a4+AC0-457e+AC0-9cb5+AC0-b2c20969cd8f+ACU-252FDaichi+AC0-Abe+AF8-635302+AF8-LeftFullBodyImage.png?itok+AD0-5Gozk7xe
Papy Abedi,+ACI-+ACIAIg-Makambo+ACIAIg-+ACI-,Middleweight Division,0,0,0,0.55,0.57,176,0,14,2.8,3.47,0.49,0,3.15,1.3,0.5,519,,+ACI-Nov. 5, 2011+ACI-,9,3,0,97,0,34,0.35,36,0.37,27,0.28,42,0.43,46,0.47,9,0.09,5,0.56,2,0.22,2,0.22,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2022+AC0-03/b234b354+AC0-8110+AC0-42f1+AC0-8dc3+AC0-e12c64426cce+ACU-252FPapy+AC0-Abedi+AF8-205746+AF8-LeftFullBodyImage.png?itok+AD0-cxcjAQ75
Klidson Abreu,+ACI-+ACIAIg-White Bear+ACIAIg-+ACI-,Light Heavyweight Division,4,10,0,0.41,0.2,236,0,10,2.05,0.64,0.56,0,2.9,0,0.8,703,+ACI-Manaus, Brazil+ACI-,+ACI-Feb. 23, 2019+ACI-,15,4,0,96,0,10,0.1,86,0.9,0,0,38,0.4,20,0.21,38,0.4,4,0.27,1,0.07,10,0.67,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/image/ufc+AC0-fighter+AC0-container/68520/profile+AC0-galery/fullbodyleft+AC0-picture/ABREU+AF8-KLIDSON+AF8-L.png?VersionId+AD0-BbXEo5JsESM5N88Iv2q7TJdUPAz1J.sR+ACY-itok+AD0-3bf1RkpJ
Ricardo Abreu,+ACI-+ACIAIg-Demente+ACIAIg-+ACI-,Middleweight Division,0,0,0,0.32,0.43,252,0,7,3.79,2.13,0.68,1.42,3.98,0.71,1,633,+ACI-Dourados, Brazil+ACI-,+ACI-May. 31, 2014+ACI-,5,1,0,80,0,13,0.16,58,0.73,9,0.11,65,0.81,10,0.13,5,0.06,3,0.6,0,0,2,0.4,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/image/ufc+AC0-fighter+AC0-container/69075/profile+AC0-galery/fullbodyleft+AC0-picture/ricardo+AC0-abreu+AF8-477654+AF8-LeftFullBodyImage.png?VersionId+AD0-LJuqnesMlT3hQ25Nq21MoDD7Nwj8n7Nn+ACY-itok+AD0-w5XMP7Hr
John Adajar,,Welterweight Division,0,0,0,0.53,0,34,0,0,3.9,0,0.44,0,6.28,0,0,277,,+ACI-Jun. 10, 2022+ACI-,0,1,0,18,0,1,0.06,17,0.94,0,0,11,0.61,5,0.28,2,0.11,0,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2022+AC0-06/7ab235cd+AC0-13bf+AC0-4085+AC0-b532+AC0-1a8138a573ff+ACU-252FADAJAR+AF8-JOHN+AF8-L.png?itok+AD0-5jmHAzgJ
Juan Adams,+ACI-+ACIAIg-The Kraken+ACIAIg-+ACI-,Heavyweight Division,5,0,0,0.56,0.67,420,2,3,7.09,0.91,0.35,0,4.06,0,0.57,396,+ACI-Houston, United States+ACI-,+ACI-Dec. 15, 2018+ACI-,5,3,0,234,0,52,0.22,112,0.48,70,0.3,192,0.82,32,0.14,10,0.04,5,1,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/image/ufc+AC0-fighter+AC0-container/69687/profile+AC0-galery/fullbodyleft+AC0-picture/ADAMS+AF8-JUAN+AF8-L.png?VersionId+AD0-a1XiJQRN+AF8-l1IA0G0dW5ccZhOzl6Gnxml+ACY-itok+AD0-qM+AC0-eurjs
Anthony Adams,,Middleweight Division,0,0,0,0.42,0,227,0,7,3.17,0,0.44,0,5.93,0,0,900,+ACI-Philadelphia, United States+ACI-,+ACI-Feb. 11, 2025+ACI-,8,2,0,95,0,11,0.12,84,0.88,0,0,37,0.39,29,0.31,29,0.31,0,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2022+AC0-03/ed39dee9+AC0-3044+AC0-4ad1+AC0-a217+AC0-4587a85234b6+ACU-252FADAMS+AF8-ANTHONY+AF8-L+AF8-CS.png?itok+AD0-ico6zXp+AC0-
Scott Adams,,Heavyweight Division,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ACI-San Luis Obispo, United States+ACI-,+ACI-Mar. 10, 2000+ACI-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://res.cloudinary.com/da7h9bpnj/image/upload/v1740705240/ja3o1ufisq1mx4dld8ba.jpg
Zarrukh Adashev,+ACI-+ACIAIg-The Lion+ACIAIg-+ACI-,Flyweight Division,2,0,0,0.4,0,285,0,5,3.65,0,0.65,0,3.04,0.48,1,473,+ACI-Samarkand, Uzbekistan+ACI-,+ACI-Jun. 13, 2020+ACI-,4,4,0,115,0,6,0.05,107,0.93,2,0.02,76,0.66,16,0.14,23,0.2,2,0.5,2,0.5,0,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete+AF8-bio+AF8-full+AF8-body/s3/2021+AC0-05/71630+ACU-252Fprofile+AC0-galery+ACU-252Ffullbodyleft+AC0-picture+ACU-252FADASHEV+AF8-ZARRUKH+AF8-L+AF8-05+AC0-08.png?itok+AD0-SejxzLdh
