EVENT,BOUT,OUTCOME,ROUND,TIME,TIME FORMAT,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result,method_label,weightclass_numeric,DATE,LOCATION
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,L/W,3,282,5 Rnd (5-5-5-5-5),colby covington,joaquin buckley,5.0,5,0.0,0,0,0,welterweight,0,1,0,5,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,billy quarantillo vs. cub swanson,W/L,3,96,3 Rnd (5-5-5),cub swanson,billy quarantillo,3.0,5,0.0,0,0,0,featherweight,1,0,0,3,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,bruno silva vs. manel kape,W/L,3,117,3 Rnd (5-5-5),manel kape,bruno silva,3.0,5,0.0,0,0,0,flyweight,1,0,0,1,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,dustin jacoby vs. vitor petrino,L/W,3,224,3 Rnd (5-5-5),vitor petrino,dustin jacoby,3.0,5,0.0,0,0,0,light heavyweight,0,1,0,7,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,L/W,3,300,3 Rnd (5-5-5),adrian yanez,daniel marcos,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,W/L,3,300,3 Rnd (5-5-5),navajo stirling,tuco tokkos,3.0,5,0.0,0,0,0,light heavyweight,1,0,2,7,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,michael johnson vs. ottman azaitar,W/L,2,123,3 Rnd (5-5-5),michael johnson,ottman azaitar,3.0,5,0.0,0,0,0,lightweight,1,0,0,4,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,drakkar klose vs. joel alvarez,W/L,1,168,3 Rnd (5-5-5),joel alvarez,drakkar klose,3.0,5,0.0,0,0,0,lightweight,1,0,0,4,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,fernando padilla vs. sean woodson,W/L,1,298,3 Rnd (5-5-5),sean woodson,fernando padilla,3.0,5,0.0,0,0,0,featherweight,1,0,0,3,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,felipe lima vs. miles johns,L/W,3,300,3 Rnd (5-5-5),miles johns,felipe lima,3.0,5,0.0,0,0,0,featherweight,0,1,2,3,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,jamey-lyn horth vs. miranda maverick,W/L,3,300,3 Rnd (5-5-5),miranda maverick,jamey-lyn horth,3.0,5,0.0,0,1,0,flyweight,1,0,2,1,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,davey grant vs. ramon taveras,W/L,3,300,3 Rnd (5-5-5),davey grant,ramon taveras,3.0,5,0.0,0,0,0,bantamweight,1,0,2,2,12-14-24,"tampa, florida, usa"
ufc fight night: covington vs. buckley,josefine knutsson vs. piera rodriguez,L/W,3,300,3 Rnd (5-5-5),josefine knutsson,piera rodriguez,3.0,5,0.0,0,1,0,strawweight,0,1,2,0,12-14-24,"tampa, florida, usa"
ufc 310: pantoja vs. asakura,alexandre pantoja vs. kai asakura,W/L,2,125,5 Rnd (5-5-5-5-5),alexandre pantoja,kai asakura,5.0,5,0.0,0,0,1,flyweight,1,0,1,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,ian machado garry vs. shavkat rakhmonov,W/L,5,300,5 Rnd (5-5-5-5-5),shavkat rakhmonov,ian machado garry,5.0,5,0.0,0,0,0,welterweight,1,0,2,5,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,alexander volkov vs. ciryl gane,W/L,3,300,3 Rnd (5-5-5),ciryl gane,alexander volkov,3.0,5,0.0,0,0,0,heavyweight,1,0,2,8,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryce mitchell vs. kron gracie,W/L,3,39,3 Rnd (5-5-5),bryce mitchell,kron gracie,3.0,5,0.0,0,0,0,featherweight,1,0,0,3,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,dooho choi vs. nate landwehr,L/W,3,201,3 Rnd (5-5-5),nate landwehr,dooho choi,3.0,5,0.0,0,0,0,featherweight,0,1,0,3,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,anthony smith vs. dominick reyes,W/L,2,286,3 Rnd (5-5-5),dominick reyes,anthony smith,3.0,5,0.0,0,0,0,light heavyweight,1,0,0,7,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,themba gorimbo vs. vicente luque,W/L,1,52,3 Rnd (5-5-5),vicente luque,themba gorimbo,3.0,5,0.0,0,0,0,welterweight,1,0,1,5,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,aljamain sterling vs. movsar evloev,W/L,3,300,3 Rnd (5-5-5),movsar evloev,aljamain sterling,3.0,5,0.0,0,0,0,featherweight,1,0,2,3,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,bryan battle vs. randy brown,L/W,3,300,3 Rnd (5-5-5),randy brown,bryan battle,3.0,5,0.0,0,0,0,welterweight,0,1,2,5,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,chris weidman vs. eryk anders,L/W,2,291,3 Rnd (5-5-5),chris weidman,eryk anders,3.0,5,0.0,0,0,0,catch weight,0,1,0,9,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,cody durden vs. joshua van,L/W,3,300,3 Rnd (5-5-5),cody durden,joshua van,3.0,5,0.0,0,0,0,flyweight,0,1,2,1,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,max griffin vs. michael chiesa,W/L,3,116,3 Rnd (5-5-5),michael chiesa,max griffin,3.0,5,0.0,0,0,0,welterweight,1,0,1,5,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,chase hooper vs. clay guida,L/W,1,221,3 Rnd (5-5-5),clay guida,chase hooper,3.0,5,0.0,0,0,0,lightweight,0,1,1,4,12-07-24,"las vegas, nevada, usa"
ufc 310: pantoja vs. asakura,kennedy nzechukwu vs. lukasz brzeski,W/L,1,291,3 Rnd (5-5-5),kennedy nzechukwu,lukasz brzeski,3.0,5,0.0,0,0,0,heavyweight,1,0,0,8,12-07-24,"las vegas, nevada, usa"
ufc fight night: yan vs. figueiredo,deiveson figueiredo vs. petr yan,W/L,5,300,5 Rnd (5-5-5-5-5),petr yan,deiveson figueiredo,5.0,5,0.0,0,0,0,bantamweight,1,0,2,2,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,tabatha ricci vs. yan xiaonan,W/L,3,300,3 Rnd (5-5-5),yan xiaonan,tabatha ricci,3.0,5,0.0,0,1,0,strawweight,1,0,2,0,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,muslim salikhov vs. song kenan,L/W,1,229,3 Rnd (5-5-5),song kenan,muslim salikhov,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,gabriella fernandes vs. wang cong,L/W,2,229,3 Rnd (5-5-5),wang cong,gabriella fernandes,3.0,5,0.0,0,1,0,flyweight,0,1,1,1,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,carlos ulberg vs. volkan oezdemir,L/W,3,300,3 Rnd (5-5-5),volkan oezdemir,carlos ulberg,3.0,5,0.0,0,0,0,light heavyweight,0,1,2,7,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,ozzy diaz vs. zhang mingyang,W/L,1,145,3 Rnd (5-5-5),zhang mingyang,ozzy diaz,3.0,5,0.0,0,0,0,light heavyweight,1,0,0,7,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,baergeng jieleyisi vs. suyoung you,L/W,3,300,3 Rnd + OT (5-5-5-5),baergeng jieleyisi,suyoung you,3.0,5,,5,0,0,bantamweight,0,1,2,2,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,donghun choi vs. kiru sahota,L/W,1,156,3 Rnd + OT (5-5-5-5),kiru sahota,donghun choi,3.0,5,,5,0,0,flyweight,0,1,0,1,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,feng xiaocan vs. shi ming,W/L,3,46,3 Rnd + OT (5-5-5-5),shi ming,feng xiaocan,3.0,5,,5,1,0,strawweight,1,0,0,0,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,carlos hernandez vs. nyamjargal tumendemberel,L/W,3,300,3 Rnd (5-5-5),nyamjargal tumendemberel,carlos hernandez,3.0,5,0.0,0,0,0,flyweight,0,1,2,1,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,jose ochoa vs. lone'er kavanagh,W/L,3,300,3 Rnd (5-5-5),lone'er kavanagh,jose ochoa,3.0,5,0.0,0,0,0,flyweight,1,0,2,1,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,quang le vs. xiao long,W/L,3,88,3 Rnd (5-5-5),xiao long,quang le,3.0,5,0.0,0,0,0,bantamweight,1,0,0,2,11-23-24,"macau, china"
ufc fight night: yan vs. figueiredo,maheshate vs. nikolas motta,L/W,3,300,3 Rnd (5-5-5),maheshate,nikolas motta,3.0,5,0.0,0,0,0,lightweight,0,1,2,4,11-23-24,"macau, china"
ufc 309: jones vs. miocic,jon jones vs. stipe miocic,W/L,3,269,5 Rnd (5-5-5-5-5),jon jones,stipe miocic,5.0,5,0.0,0,0,1,heavyweight,1,0,0,8,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,charles oliveira vs. michael chandler,W/L,5,300,5 Rnd (5-5-5-5-5),charles oliveira,michael chandler,5.0,5,0.0,0,0,0,lightweight,1,0,2,4,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,bo nickal vs. paul craig,W/L,3,300,3 Rnd (5-5-5),bo nickal,paul craig,3.0,5,0.0,0,0,0,middleweight,1,0,2,6,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,karine silva vs. viviane araujo,W/L,3,300,3 Rnd (5-5-5),viviane araujo,karine silva,3.0,5,0.0,0,1,0,flyweight,1,0,2,1,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,james llontop vs. mauricio ruffy,W/L,3,300,3 Rnd (5-5-5),mauricio ruffy,james llontop,3.0,5,0.0,0,0,0,catch weight,1,0,2,9,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,jonathan martinez vs. marcus mcghee,L/W,3,300,3 Rnd (5-5-5),jonathan martinez,marcus mcghee,3.0,5,0.0,0,0,0,bantamweight,0,1,2,2,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,damon jackson vs. jim miller,W/L,1,164,3 Rnd (5-5-5),jim miller,damon jackson,3.0,5,0.0,0,0,0,lightweight,1,0,1,4,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,david onama vs. roberto romero,W/L,3,300,3 Rnd (5-5-5),david onama,roberto romero,3.0,5,0.0,0,0,0,lightweight,1,0,2,4,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,jhonata diniz vs. marcin tybura,W/L,2,300,3 Rnd (5-5-5),marcin tybura,jhonata diniz,3.0,5,0.0,0,0,0,heavyweight,1,0,0,8,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,mickey gall vs. ramiz brahimaj,L/W,1,175,3 Rnd (5-5-5),mickey gall,ramiz brahimaj,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,11-16-24,"new york city, new york, usa"
ufc 309: jones vs. miocic,bassil hafez vs. oban elliott,L/W,3,40,3 Rnd (5-5-5),bassil hafez,oban elliott,3.0,5,0.0,0,0,0,welterweight,0,1,0,5,11-16-24,"new york city, new york, usa"
