Fighter,wins,losses,draws,nc
aalon cruz,0,2,0,0
aaron brink,0,1,0,0
aaron phillips,0,4,0,0
aaron riley,3,6,0,0
aaron rosa,1,2,0,0
aaron simpson,7,4,0,0
aaron wilkinson,0,1,0,0
abdul razak alhassan,6,6,0,1
abdul-kareem al-selwady,0,1,0,0
abdul-kerim edilov,1,0,0,0
abel trujillo,6,4,0,1
abner lloveras,0,1,0,0
abu azaitar,1,1,0,0
abubakar nurmagomedov,2,2,0,0
abus magomedov,2,2,0,0
adam cella,0,1,0,0
adam fugitt,2,2,0,0
adam milstead,1,2,0,1
adam wieczorek,2,1,0,0
adam yandiev,0,1,0,0
adlan amagov,2,0,0,0
adrian serrano,0,1,0,0
adrian yanez,6,3,0,0
adriano martins,4,3,0,0
adriano santos,0,1,0,0
aiemann zahabi,6,2,0,0
ailin perez,4,1,0,0
aisling daly,2,1,0,0
aj cunningham,0,1,0,0
aj dobson,1,3,0,0
aj fletcher,1,3,0,0
akbarh arreola,1,3,0,0
akihiro gono,1,2,0,0
akira corassani,3,3,0,0
al iaquinta,9,6,0,0
alan baudot,0,4,0,0
alan belcher,9,6,0,0
alan jouban,8,5,0,0
alan omer,0,2,0,0
alan patrick,5,4,0,1
alatengheili,5,2,1,0
albert cheng,0,1,0,0
albert duraev,2,2,0,0
albert morales,1,4,1,0
albert tumenov,5,3,0,0
alberta cerra leon,0,1,0,0
alberto crane,0,2,0,0
alberto mina,3,1,0,0
alberto uda,0,2,0,0
alejandro perez,8,4,1,0
aleksa camur,1,3,0,0
aleksandar rakic,6,3,0,0
aleksandra albu,2,2,0,0
aleksei kunchenko,2,2,0,0
aleksei oleinik,9,8,0,0
alen amedovski,0,4,0,0
alessandro costa,2,2,0,0
alessio di chirico,4,7,0,0
alessio sakara,6,8,0,1
alex andrade,0,1,0,0
alex caceres,16,12,0,1
alex chambers,1,4,0,0
alex da silva,1,3,0,0
alex garcia,5,5,0,0
alex gorgees,0,1,0,0
alex hunter,2,0,0,0
alex karalexis,1,2,0,0
alex morono,13,8,0,1
alex nicholson,1,3,0,0
alex oliveira,11,10,0,1
alex pereira,9,1,0,0
alex perez,7,5,0,0
alex reyes,0,3,0,0
alex ricci,0,2,0,0
alex schoenauer,0,1,0,0
alex soto,0,2,0,0
alex stiebling,0,1,0,0
alex torres,0,1,0,0
alex white,4,6,0,0
alexa grasso,8,4,1,0
alexander gustafsson,10,8,0,0
alexander hernandez,7,7,0,0
alexander munoz,1,2,0,0
alexander volkanovski,13,2,0,0
alexander volkov,12,5,0,0
alexander yakovlev,3,6,0,0
alexandr romanov,7,3,0,0
alexandre barros,0,1,0,0
alexandre dantas,0,2,0,0
alexandre ferreira,0,1,0,0
alexandre pantoja,13,3,0,0
alexis davis,8,6,0,0
alexis dufresne,0,2,0,0
alfonso alcarez,0,0,1,0
ali alqaisi,0,2,0,0
ali bagautinov,4,3,0,0
aliaskhab khizriev,1,0,0,1
alice ardelean,0,2,0,0
alistair overeem,12,8,0,0
aljamain sterling,16,5,0,0
allan goes,0,1,0,0
allan nascimento,2,1,0,0
allan zuniga,0,1,0,0
allen berube,0,1,0,0
allen crowder,1,2,0,0
alonzo menifield,8,5,1,0
alptekin ozkilic,1,3,0,0
alvaro herrera mendoza,1,3,0,0
alvin robinson,1,3,0,0
amanda cooper,2,4,0,0
amanda lemos,8,4,0,0
amanda nunes,16,2,0,0
amanda ribas,7,4,0,0
amar suloev,0,2,0,0
amaury bitetti,1,1,0,0
amilcar alves,0,2,0,0
amir albazi,5,1,0,0
amir sadollah,6,5,0,0
anderson dos santos,1,3,0,0
anderson silva,17,7,0,1
andre ewell,4,5,0,0
andre fialho,2,5,0,0
andre fili,12,10,0,1
andre gusmao,0,2,0,0
andre lima,3,0,0,0
andre muniz,6,2,0,0
andre pederneiras,0,1,0,0
andre petroski,7,2,0,0
andre roberts,2,1,0,0
andre soukhamthath,2,5,0,0
andre winner,2,4,0,0
andrea lee,5,8,0,0
andreas michailidis,1,3,0,0
andreas stahl,0,2,0,0
andrei arlovski,23,18,0,1
andrei semenov,1,1,0,0
andrew craig,3,4,0,0
andrew holbrook,2,3,0,0
andrew sanchez,5,5,0,0
andy anderson,0,1,0,0
andy enz,0,3,0,0
andy ogle,1,5,0,0
andy wang,0,1,0,0
ange loosa,2,2,0,1
angel pacheco,0,1,0,0
angela hill,12,14,0,0
angela magana,0,3,0,0
anistavio medeiros,0,1,0,0
anna elmose,0,2,0,0
ansar chalangov,0,2,0,0
anshul jubli,1,0,0,0
anthony birchak,2,4,0,0
anthony christodoulou,0,2,0,0
anthony hamilton,3,7,0,0
anthony hernandez,7,2,0,0
anthony ivy,0,2,0,0
anthony johnson,13,6,0,0
anthony lapsley,0,2,0,0
anthony macias,1,2,0,0
anthony njokuani,3,5,0,0
anthony perosh,5,7,0,0
anthony pettis,11,9,0,0
anthony rocco martin,9,6,0,0
anthony smith,12,11,0,0
anthony torres,1,1,0,0
