Fighter,wins,losses,draws,nc,total_matches
aalon cruz,0,2,0,0,2
aaron brink,0,1,0,0,1
aaron phillips,0,4,0,0,4
aaron riley,3,6,0,0,9
aaron rosa,1,2,0,0,3
aaron simpson,7,4,0,0,11
aaron wilkinson,0,1,0,0,1
abdul razak alhassan,6,6,0,1,13
abdul-kareem al-selwady,0,1,0,0,1
abdul-kerim edilov,1,0,0,0,1
abel trujillo,6,4,0,1,11
abner lloveras,0,1,0,0,1
abu azaitar,1,1,0,0,2
abubakar nurmagomedov,2,2,0,0,4
abus magomedov,2,2,0,0,4
adam cella,0,1,0,0,1
adam fugitt,2,2,0,0,4
adam milstead,1,2,0,1,4
adam wieczorek,2,1,0,0,3
adam yandiev,0,1,0,0,1
adlan amagov,2,0,0,0,2
adrian serrano,0,1,0,0,1
adrian yanez,6,3,0,0,9
adriano martins,4,3,0,0,7
adriano santos,0,1,0,0,1
aiemann zahabi,6,2,0,0,8
ailin perez,4,1,0,0,5
aisling daly,2,1,0,0,3
aj cunningham,0,1,0,0,1
aj dobson,1,3,0,0,4
aj fletcher,1,3,0,0,4
akbarh arreola,1,3,0,0,4
akihiro gono,1,2,0,0,3
akira corassani,3,3,0,0,6
al iaquinta,9,6,0,0,15
alan baudot,0,4,0,0,4
alan belcher,9,6,0,0,15
alan jouban,8,5,0,0,13
alan omer,0,2,0,0,2
alan patrick,5,4,0,1,10
alatengheili,5,2,1,0,8
albert cheng,0,1,0,0,1
albert duraev,2,2,0,0,4
albert morales,1,4,1,0,6
albert tumenov,5,3,0,0,8
alberta cerra leon,0,1,0,0,1
alberto crane,0,2,0,0,2
alberto mina,3,1,0,0,4
alberto uda,0,2,0,0,2
alejandro perez,8,4,1,0,13
aleksa camur,1,3,0,0,4
aleksandar rakic,6,3,0,0,9
aleksandra albu,2,2,0,0,4
aleksei kunchenko,2,2,0,0,4
aleksei oleinik,9,8,0,0,17
alen amedovski,0,4,0,0,4
alessandro costa,2,2,0,0,4
alessio di chirico,4,7,0,0,11
alessio sakara,6,8,0,1,15
alex andrade,0,1,0,0,1
alex caceres,16,12,0,1,29
alex chambers,1,4,0,0,5
alex da silva,1,3,0,0,4
alex garcia,5,5,0,0,10
alex gorgees,0,1,0,0,1
alex hunter,2,0,0,0,2
alex karalexis,1,2,0,0,3
alex morono,13,8,0,1,22
alex nicholson,1,3,0,0,4
alex oliveira,11,10,0,1,22
alex pereira,9,1,0,0,10
alex perez,7,5,0,0,12
alex reyes,0,3,0,0,3
alex ricci,0,2,0,0,2
alex schoenauer,0,1,0,0,1
alex soto,0,2,0,0,2
alex stiebling,0,1,0,0,1
alex torres,0,1,0,0,1
alex white,4,6,0,0,10
alexa grasso,8,4,1,0,13
alexander gustafsson,10,8,0,0,18
alexander hernandez,7,7,0,0,14
alexander munoz,1,2,0,0,3
alexander volkanovski,13,2,0,0,15
alexander volkov,12,5,0,0,17
alexander yakovlev,3,6,0,0,9
alexandr romanov,7,3,0,0,10
alexandre barros,0,1,0,0,1
alexandre dantas,0,2,0,0,2
alexandre ferreira,0,1,0,0,1
alexandre pantoja,13,3,0,0,16
alexis davis,8,6,0,0,14
alexis dufresne,0,2,0,0,2
alfonso alcarez,0,0,1,0,1
ali alqaisi,0,2,0,0,2
ali bagautinov,4,3,0,0,7
aliaskhab khizriev,1,0,0,1,2
alice ardelean,0,2,0,0,2
alistair overeem,12,8,0,0,20
aljamain sterling,16,5,0,0,21
allan goes,0,1,0,0,1
allan nascimento,2,1,0,0,3
allan zuniga,0,1,0,0,1
allen berube,0,1,0,0,1
allen crowder,1,2,0,0,3
alonzo menifield,8,5,1,0,14
alptekin ozkilic,1,3,0,0,4
alvaro herrera mendoza,1,3,0,0,4
alvin robinson,1,3,0,0,4
amanda cooper,2,4,0,0,6
amanda lemos,8,4,0,0,12
amanda nunes,16,2,0,0,18
amanda ribas,7,4,0,0,11
amar suloev,0,2,0,0,2
amaury bitetti,1,1,0,0,2
amilcar alves,0,2,0,0,2
amir albazi,5,1,0,0,6
amir sadollah,6,5,0,0,11
anderson dos santos,1,3,0,0,4
anderson silva,17,7,0,1,25
andre ewell,4,5,0,0,9
andre fialho,2,5,0,0,7
andre fili,12,10,0,1,23
andre gusmao,0,2,0,0,2
andre lima,3,0,0,0,3
andre muniz,6,2,0,0,8
andre pederneiras,0,1,0,0,1
andre petroski,7,2,0,0,9
andre roberts,2,1,0,0,3
andre soukhamthath,2,5,0,0,7
andre winner,2,4,0,0,6
andrea lee,5,8,0,0,13
andreas michailidis,1,3,0,0,4
andreas stahl,0,2,0,0,2
andrei arlovski,23,18,0,1,42
andrei semenov,1,1,0,0,2
andrew craig,3,4,0,0,7
andrew holbrook,2,3,0,0,5
andrew sanchez,5,5,0,0,10
andy anderson,0,1,0,0,1
andy enz,0,3,0,0,3
andy ogle,1,5,0,0,6
andy wang,0,1,0,0,1
ange loosa,2,2,0,1,5
angel pacheco,0,1,0,0,1
angela hill,12,14,0,0,26
angela magana,0,3,0,0,3
anistavio medeiros,0,1,0,0,1
anna elmose,0,2,0,0,2
ansar chalangov,0,2,0,0,2
anshul jubli,1,0,0,0,1
anthony birchak,2,4,0,0,6
anthony christodoulou,0,2,0,0,2
anthony hamilton,3,7,0,0,10
anthony hernandez,7,2,0,0,9
anthony ivy,0,2,0,0,2
anthony johnson,13,6,0,0,19
anthony lapsley,0,2,0,0,2
anthony macias,1,2,0,0,3
anthony njokuani,3,5,0,0,8
anthony perosh,5,7,0,0,12
anthony pettis,11,9,0,0,20
anthony rocco martin,9,6,0,0,15
anthony smith,12,11,0,0,23
anthony torres,1,1,0,0,2
anton kuivanen,1,2,0,0,3
anton turkalj,0,4,0,0,4
anton zafir,0,2,0,0,2
antoni hardonk,4,4,0,0,8
antonina shevchenko,4,4,0,0,8
antonio arroyo,0,3,0,0,3
antonio banuelos,0,1,0,0,1
antonio braga neto,1,2,0,0,3
antonio carlos junior,7,5,0,1,13
antonio carvalho,2,2,0,0,4
antonio dos santos,0,2,0,0,2
antonio mckee,0,1,0,0,1
antonio mendes,0,2,0,0,2
