EVENT,BOUT,METHOD,ROUND,TIME,FIGHTER_1,FIGHTER_2,Total_Rounds_Format,Main_round_time_Format,Num_overtime_rounds_Format,Overtime_round_time_Format,gender,is_title_bout,weight_class,fighter_1_result,fighter_2_result
ufc fight night: covington vs. buckley,colby covington  vs. joaquin buckley,tko - doctor's stoppage,3,282,colby covington,joaquin buckley,5.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc fight night: covington vs. buckley,cub swanson  vs. billy quarantillo,ko/tko,3,96,cub swanson,billy quarantillo,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: covington vs. buckley,manel kape  vs. bruno silva,ko/tko,3,117,manel kape,bruno silva,3.0,5.0,0.0,0.0,0,0,flyweight,W,L
ufc fight night: covington vs. buckley,vitor petrino  vs. dustin jacoby,ko/tko,3,224,vitor petrino,dustin jacoby,3.0,5.0,0.0,0.0,0,0,light heavyweight,L,W
ufc fight night: covington vs. buckley,adrian yanez  vs. daniel marcos,decision - split,3,300,adrian yanez,daniel marcos,3.0,5.0,0.0,0.0,0,0,bantamweight,L,W
ufc fight night: covington vs. buckley,navajo stirling  vs. tuco tokkos,decision - unanimous,3,300,navajo stirling,tuco tokkos,3.0,5.0,0.0,0.0,0,0,light heavyweight,W,L
ufc fight night: covington vs. buckley,michael johnson  vs. ottman azaitar,ko/tko,2,123,michael johnson,ottman azaitar,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: covington vs. buckley,joel alvarez  vs. drakkar klose,ko/tko,1,168,joel alvarez,drakkar klose,3.0,5.0,0.0,0.0,0,0,lightweight,W,L
ufc fight night: covington vs. buckley,sean woodson  vs. fernando padilla,ko/tko,1,298,sean woodson,fernando padilla,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc fight night: covington vs. buckley,miles johns  vs. felipe lima,decision - unanimous,3,300,miles johns,felipe lima,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc fight night: covington vs. buckley,miranda maverick  vs. jamey-lyn horth,decision - unanimous,3,300,miranda maverick,jamey-lyn horth,3.0,5.0,0.0,0.0,1,0,flyweight,W,L
ufc fight night: covington vs. buckley,davey grant  vs. ramon taveras,decision - unanimous,3,300,davey grant,ramon taveras,3.0,5.0,0.0,0.0,0,0,bantamweight,W,L
ufc fight night: covington vs. buckley,josefine knutsson  vs. piera rodriguez,decision - unanimous,3,300,josefine knutsson,piera rodriguez,3.0,5.0,0.0,0.0,1,0,strawweight,L,W
ufc 310: pantoja vs. asakura,alexandre pantoja  vs. kai asakura,submission,2,125,alexandre pantoja,kai asakura,5.0,5.0,0.0,0.0,0,1,flyweight,W,L
ufc 310: pantoja vs. asakura,shavkat rakhmonov  vs. ian machado garry,decision - unanimous,5,300,shavkat rakhmonov,ian machado garry,5.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc 310: pantoja vs. asakura,ciryl gane  vs. alexander volkov,decision - split,3,300,ciryl gane,alexander volkov,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
ufc 310: pantoja vs. asakura,bryce mitchell  vs. kron gracie,ko/tko,3,39,bryce mitchell,kron gracie,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc 310: pantoja vs. asakura,nate landwehr  vs. dooho choi,ko/tko,3,201,nate landwehr,dooho choi,3.0,5.0,0.0,0.0,0,0,featherweight,L,W
ufc 310: pantoja vs. asakura,dominick reyes  vs. anthony smith,ko/tko,2,286,dominick reyes,anthony smith,3.0,5.0,0.0,0.0,0,0,light heavyweight,W,L
ufc 310: pantoja vs. asakura,vicente luque  vs. themba gorimbo,submission,1,52,vicente luque,themba gorimbo,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc 310: pantoja vs. asakura,movsar evloev  vs. aljamain sterling,decision - unanimous,3,300,movsar evloev,aljamain sterling,3.0,5.0,0.0,0.0,0,0,featherweight,W,L
ufc 310: pantoja vs. asakura,randy brown  vs. bryan battle,decision - split,3,300,randy brown,bryan battle,3.0,5.0,0.0,0.0,0,0,welterweight,L,W
ufc 310: pantoja vs. asakura,chris weidman  vs. eryk anders,ko/tko,2,291,chris weidman,eryk anders,3.0,5.0,0.0,0.0,0,0,catch weight,L,W
ufc 310: pantoja vs. asakura,cody durden  vs. joshua van,decision - unanimous,3,300,cody durden,joshua van,3.0,5.0,0.0,0.0,0,0,flyweight,L,W
ufc 310: pantoja vs. asakura,michael chiesa  vs. max griffin,submission,3,116,michael chiesa,max griffin,3.0,5.0,0.0,0.0,0,0,welterweight,W,L
ufc 310: pantoja vs. asakura,clay guida  vs. chase hooper,submission,1,221,clay guida,chase hooper,3.0,5.0,0.0,0.0,0,0,lightweight,L,W
ufc 310: pantoja vs. asakura,kennedy nzechukwu  vs. lukasz brzeski,ko/tko,1,291,kennedy nzechukwu,lukasz brzeski,3.0,5.0,0.0,0.0,0,0,heavyweight,W,L
