EVENT,BOUT,ROUND,FIGHTER,KD,SIG.STR. %,TD %,SUB.ATT,REV.,CTRL,sig_str_attempt,sig_str_land,total_str_attempt,total_str_land,touchdown_attempt,takedown_land,total_leg_attempt,total_leg_land,total_distance_strike_attempt,total_distance_strike_land,total_body_attempt,total_body_land,total_clinch_attempt,total_clinch_land,total_ground_attempt,total_ground_land,total_head_attempt,total_head_land
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 1,colby covington,0.0,0.19,0.0,0.0,0.0,22.0,10,51,10,51,0,2,1,3,10,51,4,6,0,0,0,0,5,42
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 2,colby covington,0.0,0.38,0.33,0.0,0.0,88.0,19,50,25,56,1,3,2,2,17,48,4,5,0,0,2,2,13,43
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 3,colby covington,0.0,0.34,0.0,0.0,0.0,110.0,8,23,36,54,0,3,0,0,6,21,0,0,0,0,2,2,8,23
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 1,joaquin buckley,0.0,0.41,0.0,0.0,0.0,9.0,23,55,23,55,0,0,1,1,20,49,4,7,1,2,2,4,18,47
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 2,joaquin buckley,0.0,0.5,0.0,0.0,0.0,1.0,28,55,29,56,0,1,2,2,24,50,6,7,4,5,0,0,20,46
ufc fight night: covington vs. buckley,colby covington vs. joaquin buckley,Round 3,joaquin buckley,0.0,0.58,0.0,1.0,0.0,68.0,24,41,29,49,0,0,0,0,21,36,3,3,1,1,2,4,21,38
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 1,cub swanson,0.0,0.68,0.0,0.0,0.0,0.0,39,57,40,58,0,0,9,9,39,57,7,10,0,0,0,0,23,38
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 2,cub swanson,0.0,0.57,0.0,0.0,0.0,9.0,40,69,54,83,0,0,1,2,36,65,4,6,4,4,0,0,35,61
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 3,cub swanson,1.0,0.62,0.0,0.0,0.0,1.0,20,32,20,32,0,0,2,2,20,32,2,2,0,0,0,0,16,28
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 1,billy quarantillo,0.0,0.42,0.33,0.0,0.0,14.0,37,88,37,88,1,3,9,12,37,87,6,10,0,1,0,0,22,66
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 2,billy quarantillo,0.0,0.36,0.4,0.0,0.0,98.0,38,105,49,117,2,5,1,2,32,91,6,12,6,14,0,0,31,91
ufc fight night: covington vs. buckley,cub swanson vs. billy quarantillo,Round 3,billy quarantillo,0.0,0.5,0.0,0.0,0.0,15.0,22,44,22,44,0,3,2,3,22,44,8,10,0,0,0,0,12,31
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 1,manel kape,0.0,0.66,0.0,0.0,0.0,0.0,32,48,32,48,0,0,9,9,31,47,2,2,1,1,0,0,21,37
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 2,manel kape,0.0,0.59,0.0,0.0,0.0,0.0,39,66,39,66,0,0,9,9,38,65,5,5,1,1,0,0,25,52
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 3,manel kape,1.0,0.74,0.0,0.0,0.0,1.0,40,54,40,54,0,0,4,4,40,53,11,12,0,0,0,1,25,38
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 1,bruno silva,0.0,0.55,0.0,0.0,0.0,0.0,19,34,21,36,0,2,2,2,18,33,10,14,1,1,0,0,7,18
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 2,bruno silva,0.0,0.62,0.0,0.0,0.0,0.0,27,43,28,44,0,3,7,7,26,42,7,9,1,1,0,0,13,27
ufc fight night: covington vs. buckley,manel kape vs. bruno silva,Round 3,bruno silva,0.0,0.31,0.0,0.0,0.0,0.0,11,35,11,35,0,0,0,0,11,35,4,6,0,0,0,0,7,29
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 1,vitor petrino,0.0,0.38,0.0,0.0,0.0,2.0,10,26,10,26,0,1,3,5,10,26,2,2,0,0,0,0,5,19
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 2,vitor petrino,0.0,0.4,0.0,0.0,0.0,0.0,19,47,19,47,0,0,1,2,19,47,2,3,0,0,0,0,16,42
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 3,vitor petrino,0.0,0.47,0.0,0.0,0.0,38.0,11,23,11,23,0,3,3,3,11,23,2,2,0,0,0,0,6,18
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 1,dustin jacoby,0.0,0.37,0.0,0.0,0.0,4.0,12,32,12,32,0,0,6,8,8,25,1,2,4,7,0,0,5,22
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 2,dustin jacoby,0.0,0.5,0.0,0.0,0.0,0.0,18,36,18,36,0,0,7,8,18,36,3,4,0,0,0,0,8,24
ufc fight night: covington vs. buckley,vitor petrino vs. dustin jacoby,Round 3,dustin jacoby,1.0,0.53,0.0,0.0,0.0,16.0,15,28,17,32,0,0,2,2,13,26,3,3,1,1,1,1,10,23
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,adrian yanez,0.0,0.43,0.0,0.0,0.0,23.0,24,55,29,60,0,0,7,7,24,55,2,2,0,0,0,0,15,46
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,adrian yanez,0.0,0.41,0.0,0.0,0.0,0.0,41,98,41,98,0,0,7,10,41,97,5,6,0,1,0,0,29,82
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,adrian yanez,0.0,0.46,0.0,0.0,0.0,52.0,14,30,15,31,0,1,0,0,14,30,1,2,0,0,0,0,13,28
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 1,daniel marcos,0.0,0.63,0.0,0.0,0.0,46.0,29,46,30,47,0,0,11,11,27,44,4,5,2,2,0,0,14,30
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 2,daniel marcos,0.0,0.55,0.0,0.0,0.0,0.0,39,70,39,70,0,2,5,8,39,70,5,10,0,0,0,0,29,52
ufc fight night: covington vs. buckley,adrian yanez vs. daniel marcos,Round 3,daniel marcos,0.0,0.58,1.0,0.0,0.0,157.0,18,31,26,39,2,2,1,1,15,28,0,1,1,1,2,2,17,29
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 1,navajo stirling,0.0,0.36,0.0,0.0,0.0,23.0,21,57,24,62,0,0,4,7,20,54,9,15,1,3,0,0,8,35
ufc fight night: covington vs. buckley,navajo stirling vs. tuco tokkos,Round 2,navajo stirling,0.0,0.62,0.0,0.0,0.0,0.0,22,35,25,39,0,0,2,2,17,28,12,14,5,7,0,0,8,19
